,id,mult
0,K32015,1
1,W32006,1
2,A32019,2
3,S32035,1
4,C32094,1
5,S32023,1
6,M32026,1
7,C32106,1
8,C32105,1
9,C32091,1
10,M32054,1
11,V32001,1
12,B32060,1
13,M32060,1
14,M32064,1
15,M32058,1
16,H32006,1
17,M32084,1
18,M32073,1
19,C32098,1
20,C32065,1
21,A32054,1
22,A32032,2
23,C32061,1
24,M32046,2
25,M32033,1
26,C32079,1
27,C32101,1
28,M32059,1
29,M32037,1
30,C32012,2
31,B32004,2
32,D32004,1
33,C32048,1
34,W32004,1
35,C32062,2
36,S32018,2
37,N32015,1
38,A32003,1
39,C32003,2
40,N32003,1
41,S32007,2
42,B32055,2
43,N32012,1
44,D32024,1
45,B32016,1
46,K32002,2
47,S32003,1
48,C32059,1
49,C32095,2
50,H32002,2
51,A32028,1
52,A32039,1
53,M32067,1
54,M32027,1
55,D32050,1
56,C32044,1
57,C32092,1
58,B32057,1
59,B32008,2
60,N32009,2
61,D32018,1
62,A32036,1
63,A32045,1
64,C32002,1
65,B32031,1
66,D32007,1
67,D32013,1
68,D32055,1
69,D32046,1
70,C32008,1
71,B32034,1
72,B32018,1
73,S32050,1
74,B32013,1
75,D32058,1
76,D32028,1
77,A32005,1
78,M32082,2
79,A32047,1
80,V32011,1
81,S32016,1
82,H32004,1
83,L32004,1
84,V32004,1
85,V32008,1
86,S32014,1
87,C32053,2
88,K32005,2
89,K32003,2
90,A32023,2
91,B32020,1
92,N32011,1
93,M32077,1
94,M32052,1
95,M32013,2
96,M32007,1
97,D32000,1
98,M32019,1
99,A32046,1
100,H32001,2
101,C32088,1
102,M32012,2
103,M32011,2
104,A32041,2
105,N32018,1
106,C32086,1
107,E32008,1
108,C32085,2
109,N32000,1
110,D32016,1
111,D32039,1
112,H32003,2
113,V32009,1
114,H32005,1
115,M32049,1
116,D32015,1
117,D32019,2
118,B32005,1
119,C32099,1
120,S32010,1
121,D32047,1
122,C32104,2
123,B32035,1
124,D32057,1
125,C32055,2
126,B32006,2
127,B32029,1
128,C32052,2
129,C32077,1
130,A32002,1
131,K32006,1
132,D32033,1
133,A32017,1
134,D32034,1
135,T32013,1
136,S32022,1
137,S32040,1
138,M32074,1
139,D32009,2
140,C32032,1
141,C32010,1
142,S32004,1
143,K32001,1
144,W32001,2
145,D32005,2
146,S32037,1
147,D32010,1
148,E32001,1
149,K32009,1
150,M32030,1
151,M32031,1
152,M32075,1
153,S32006,2
154,A32051,2
155,B32037,1
156,M32066,1
157,C32009,1
158,B32017,2
159,C32015,2
160,C32018,1
161,A32031,2
162,S32017,1
163,S32038,1
164,A32022,1
165,M32034,1
166,E32004,2
167,S32039,1
168,V32005,1
169,T32011,1
170,V32003,2
171,A32000,1
172,C32051,1
173,C32041,2
174,B32064,1
175,S32047,2
176,E32010,1
177,T32010,1
178,B32062,1
179,S32015,1
180,C32037,1
181,C32027,1
182,C32030,1
183,M32051,1
184,M32078,1
185,M32072,1
186,C32040,1
187,C32090,1
188,S32046,2
189,V32006,2
190,A32034,1
191,T32014,1
192,M32081,1
193,A32049,1
194,B32032,1
195,M32068,1
196,V32015,1
197,E32005,2
198,B32028,1
199,S32019,1
200,V32012,1
201,D32043,1
202,C32093,1
203,C32057,1
204,D32035,2
205,M32016,2
206,M32020,2
207,M32017,2
208,M32018,2
209,K32017,2
210,M32055,2
211,A32052,2
212,M32023,2
213,M32021,2
214,M32014,2
215,M32024,2
216,M32038,2
217,T32008,1
218,D32026,2
219,K32010,1
220,B32003,1
221,A32040,1
222,D32060,1
223,B32033,1
224,M32044,1
225,C32100,1
226,C32089,1
227,E32013,1
228,E32003,2
229,C32020,1
230,C32021,1
231,C32025,1
