,Station 1,Station 2,Seconds
0,K32015,K32015,0
1,K32015,A32019,830
2,K32015,B32060,438
3,K32015,A32003,596
4,K32015,K32002,666
5,K32015,B32034,631
6,K32015,B32013,605
7,K32015,D32058,497
8,K32015,K32005,500
9,K32015,K32003,533
10,K32015,B32020,464
11,K32015,M32012,988
12,K32015,M32011,933
13,K32015,B32006,580
14,K32015,A32002,349
15,K32015,K32006,357
16,K32015,A32017,453
17,K32015,K32001,234
18,K32015,K32009,668
19,K32015,M32030,856
20,K32015,B32037,634
21,K32015,B32062,767
22,K32015,D32035,380
23,K32015,K32017,261
24,K32015,M32014,1035
25,K32015,K32010,742
26,K32015,B32003,496
27,K32015,A32040,728
28,K32015,B32033,788
29,K32015,E32003,1000
30,K32015,A32011,883
31,K32015,K32004,329
32,K32015,B32010,485
33,K32015,M32009,883
34,K32015,B32015,503
35,K32015,B32058,422
36,K32015,A32004,407
37,K32015,M32022,710
38,K32015,K32012,278
39,K32015,E32012,963
40,K32015,M32061,992
41,K32015,M32041,789
42,K32015,M32042,695
43,K32015,B32012,889
44,K32015,M32076,709
45,K32015,B32036,562
46,K32015,A32012,413
47,K32015,A32008,347
48,K32015,A32056,391
49,K32015,C32001,940
50,K32015,E32007,771
51,K32015,M32047,715
52,K32015,D32032,657
53,K32015,A32006,916
54,K32015,K32007,350
55,K32015,B32063,653
56,K32015,K32008,531
57,K32015,A32001,705
58,K32015,M32040,904
59,K32015,K32011,453
60,K32015,B32021,691
61,W32006,W32006,0
62,W32006,W32004,246
63,W32006,N32003,487
64,W32006,N32000,553
65,W32006,W32001,465
66,W32006,W32007,338
67,W32006,D32031,770
68,W32006,D32029,886
69,W32006,W32002,251
70,W32006,W32005,397
71,A32019,K32015,804
72,A32019,A32019,0
73,A32019,M32054,961
74,A32019,M32073,510
75,A32019,A32003,962
76,A32019,A32045,372
77,A32019,D32058,537
78,A32019,A32005,209
79,A32019,M32013,558
80,A32019,M32012,580
81,A32019,A32002,814
82,A32019,K32006,552
83,A32019,A32017,490
84,A32019,D32034,652
85,A32019,K32001,699
86,A32019,M32030,660
87,A32019,M32051,1019
88,A32019,M32068,841
89,A32019,D32035,445
90,A32019,M32016,369
91,A32019,M32020,578
92,A32019,M32017,429
93,A32019,M32018,456
94,A32019,K32017,590
95,A32019,A32052,194
96,A32019,M32023,615
97,A32019,M32021,562
98,A32019,M32014,439
99,A32019,M32024,760
100,A32019,M32038,362
101,A32019,A32040,128
102,A32019,M32044,924
103,A32019,A32011,107
104,A32019,K32004,524
105,A32019,M32022,635
106,A32019,M32043,751
107,A32019,D32001,450
108,A32019,M32076,792
109,A32019,A32012,659
110,A32019,M32079,1036
111,A32019,A32006,267
112,A32019,D32054,894
113,A32019,A32001,419
114,A32019,M32057,970
115,A32019,M32050,570
116,A32019,K32011,918
117,A32019,A32037,849
118,A32019,A32043,255
119,S32035,S32035,0
120,S32035,S32023,211
121,S32035,M32026,337
122,S32035,M32073,588
123,S32035,S32007,801
124,S32035,S32003,55
125,S32035,M32067,481
126,S32035,S32050,480
127,S32035,S32016,637
128,S32035,M32052,322
129,S32035,M32013,261
130,S32035,M32007,377
131,S32035,M32012,500
132,S32035,M32011,551
133,S32035,S32022,622
134,S32035,S32040,491
135,S32035,S32004,155
136,S32035,S32037,447
137,S32035,M32030,670
138,S32035,S32006,632
139,S32035,S32038,801
140,S32035,S32039,377
141,S32035,S32015,790
142,S32035,M32078,627
143,S32035,S32046,656
144,S32035,M32081,543
145,S32035,M32068,458
146,S32035,S32019,681
147,S32035,M32016,430
148,S32035,M32020,351
149,S32035,M32017,387
150,S32035,M32018,441
151,S32035,M32055,508
152,S32035,A32052,679
153,S32035,M32023,276
154,S32035,M32021,225
155,S32035,M32014,660
156,S32035,M32024,531
157,S32035,M32038,578
